"No.","Time","Source","Destination","Protocol","Length","Info"
"866","6.054010","192.168.43.42","192.168.43.45","UDP","48","2390  >  2399 Len=6"
"867","6.054215","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"868","6.058665","192.168.43.42","192.168.43.45","UDP","48","2390  >  2399 Len=6"
"869","6.058863","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"870","6.063294","192.168.43.42","192.168.43.45","UDP","48","2390  >  2399 Len=6"
"871","6.063490","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"872","6.067790","192.168.43.42","192.168.43.45","UDP","51","2390  >  2399 Len=9"
"873","6.068042","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"874","6.072396","192.168.43.42","192.168.43.45","UDP","48","2390  >  2399 Len=6"
"875","6.072644","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"876","6.076942","192.168.43.42","192.168.43.45","UDP","51","2390  >  2399 Len=9"
"877","6.080779","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"878","6.081862","192.168.43.45","31.13.88.61","TCP","78","[TCP Retransmission] 60233  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1141771147 TSecr=0 SACK_PERM"
"879","6.120929","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"880","6.140911","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"881","6.160797","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"882","6.200899","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"883","6.241225","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"884","6.241231","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"885","6.282370","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"886","6.321181","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"887","6.333788","192.168.43.45","8.8.8.8","DNS","79","Standard query 0x5070 A accounts.google.com"
"888","6.340930","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"889","6.341251","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"890","6.360916","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"891","6.369816","192.168.43.45","8.8.8.8","DNS","70","Standard query 0x01c9 A dns.google"
"892","6.370015","192.168.43.45","8.8.8.8","DNS","70","Standard query 0x9a91 HTTPS dns.google"
"893","6.400725","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"894","6.441188","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"895","6.441191","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"896","6.480944","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"897","6.520962","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"898","6.540765","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"899","6.560841","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"900","6.600753","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"901","6.640854","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"902","6.643023","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"903","6.643221","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
