"No.","Time","Source","Destination","Protocol","Length","Info"
"1083","10.121303","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1084","10.140687","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1085","10.160695","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1086","10.200900","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1087","10.240792","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1088","10.240794","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1089","10.280935","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1090","10.320989","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1091","10.321559","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"1092","10.348802","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1093","10.360874","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1094","10.400918","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1095","10.441187","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1096","10.441190","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1097","10.481268","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1098","10.521520","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1099","10.540703","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1100","10.560952","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1101","10.600895","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1102","10.641119","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1103","10.641121","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1104","10.641671","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"1105","10.680907","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1106","10.720792","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1107","10.740626","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
